Biome,Deforestation Area (ha),Year or Range,Dataset
Amaz�nia,14750210.335323865,2010-2023,Mapbiomas
Caatinga,4221447.018812286,2010-2023,Mapbiomas
Cerrado,11305576.84346962,2010-2023,Mapbiomas
Mata Atl�ntica,1908798.9111165195,2010-2023,Mapbiomas
Pampa,1371856.0873114215,2010-2023,Mapbiomas
Pantanal,607531.2616700062,2010-2023,Mapbiomas
