Biome,Deforestation Area (ha),Year or Range,Dataset
Amaz�nia,39759536.94536988,2010-2023,GFW
Caatinga,3797037.0580603415,2010-2023,GFW
Cerrado,21445415.64025873,2010-2023,GFW
Mata Atl�ntica,8940289.460637929,2010-2023,GFW
Pampa,809511.7858551531,2010-2023,GFW
Pantanal,1829719.9865971329,2010-2023,GFW
